"subject"	"activityNum"	"activityName"	"featureDomain"	"featureSensor"	"featureMotion"	"featureJerk"	"featureMagnitude"	"featureMeasure"	"featureAxis"	"count"	"average"
"1"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	95	-0.0571194000343158
"2"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	95	-0.103492403002105
"3"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	95	-0.170546964549579
"4"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	95	-0.0352255241130632
"5"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	95	-0.468999224631579
"6"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"X"	95	-0.133586606326316
"7"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Y"	95	0.106739857136
"8"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"Jerk"	"NA"	"SD"	"Z"	95	-0.534713440421053
"9"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"Mean"	"Other"	95	-0.128623450629474
"10"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"Magnitude"	"SD"	"Other"	95	-0.398032586842105
"11"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"X"	95	-0.202794306326316
"12"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Y"	95	0.0897127264021053
"13"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"Mean"	"Z"	95	-0.331560117789474
"14"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"X"	95	-0.319134719578947
"15"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Y"	95	0.056040006846
"16"	1	1	"WALKING"	"Frequency"	"Accelerometer"	"Body"	"NA"	"NA"	"SD"	"Z"	95	-0.279686751494737
"17"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"Mean"	"Other"	95	-0.319308593778947
"18"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"Jerk"	"Magnitude"	"SD"	"Other"	95	-0.381601911789474
"19"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"Mean"	"Other"	95	-0.199252568986316
"20"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"Magnitude"	"SD"	"Other"	95	-0.321017953894737
"21"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"X"	95	-0.339032197115789
"22"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Y"	95	-0.103059416434737
"23"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"Mean"	"Z"	95	-0.255940940315789
"24"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"X"	95	-0.516691938736842
"25"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Y"	95	-0.0335081597884211
"26"	1	1	"WALKING"	"Frequency"	"Gyroscope"	"NA"	"NA"	"NA"	"SD"	"Z"	95	-0.436562227473684
"27"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"Mean"	"Other"	95	-0.141428809031579
"28"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"Magnitude"	"SD"	"Other"	95	-0.0744717500625263
"29"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"X"	95	0.0740416333157895
"30"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Y"	95	0.0282721095884211
"31"	1	1	"WALKING"	"Time"	"Accelerometer"	"Body"	"Jerk"	"NA"	"Mean"	"Z"	95	-0.00416840617789474
